Continent,Country,Degree Students-Officially Studying Degrees Foreign Students,Degree Students-Overseas Students (including Hong Kong and Macao),Degree Students-Officially Studying Degrees Land Students,Non-degree Students-Foreign Exchange Students,Non-degree Students-Foreign Short-Term Study and personal selection,Non-degree students-college students with Chinese Language Center,Non-degree students-mainland students,Non-degree students-Haiqing class,Overseas special classe,Total,Per million
Asia,China,0,0,5881,0,0,377,27030,0,0,33288,320773.9896
Asia,Malaysia,3671,6254,0,35,839,85,0,2402,99,13286,398.1325707
Asia,Hong Kong,0,5814,0,193,220,59,0,0,0,6286,233.317926
Asia,Japan,698,177,0,494,1423,3024,0,0,0,5816,2013.080872
Asia,Macao,0,4693,0,10,3,17,0,0,0,4723,59624.05161
Asia,Vietnam,2450,291,0,11,41,922,0,0,290,3715,403.183139
Asia,South Korea,511,186,0,708,248,1933,0,1,0,3587,84.06473008
Asia,Indonesia,1374,971,0,35,134,976,0,69,0,3559,1222.014948
Asia,Thailand,548,268,0,108,150,461,0,0,0,1535,27513.39822
Asia,India,646,3,0,26,85,97,0,0,0,857,9258.659061
Asia,Mongolia,571,0,0,21,3,210,0,0,0,805,34.29079772
Asia,Singapore,100,99,0,107,340,32,0,0,10,678,79.33205684
Asia,Philippines,138,33,0,18,85,292,0,0,0,566,59.35975989
Asia,Myanmar,5,407,0,1,2,42,0,31,0,488,49.57184855
Asia,Russia,155,1,0,32,13,192,0,0,0,393,35.06093331
Asia,Turkey,45,0,0,9,2,69,0,0,0,125,12.15144551
Asia,Iran,44,0,0,0,2,8,0,0,0,54,3.070621392
Asia,Nepal,29,0,0,0,8,16,0,0,0,53,0.3429973
Asia,Jordan,30,3,0,0,0,6,0,0,0,39,5.398717431
Asia,Israel,13,0,0,0,5,19,0,0,0,37,27.69305615
Asia,Pakistan,19,2,0,0,2,0,0,0,0,23,62.05599609
Asia,Brunei Darussalam,4,12,0,0,2,2,0,3,0,23,6.605201912
Asia,Iraq,15,0,0,0,1,3,0,0,0,19,2.005380542
Asia,Kazakhstan,7,0,0,0,5,7,0,0,0,19,53.76861385
Asia,Bangladesh,12,1,0,0,0,3,0,0,0,16,245.6285789
Asia,Sri Lanka,14,1,0,0,0,1,0,0,0,16,1.494416905
Asia,Bhutan,1,0,0,0,0,11,0,0,0,12,0.059182181
Asia,Tajikistan,5,0,0,0,0,6,0,0,0,11,38.62020539
Asia,Uzbekistan,2,0,0,0,0,7,0,0,0,9,21.96359412
Asia,Saudi Arabia,2,2,0,0,0,2,0,0,0,6,8.344273603
Asia,Laos,1,3,0,0,0,1,0,0,0,5,2.393932053
Asia,Cambodia,1,1,0,0,1,1,0,0,0,4,0.896022221
Asia,Yemen,0,3,0,0,1,0,0,0,0,4,0.112874987
Asia,Kyrgyzstan,4,0,0,0,0,0,0,0,0,4,0.488481067
Asia,Armenia,1,0,0,0,0,3,0,0,0,4,24.37538087
Asia,Lebanon,1,1,0,0,0,1,0,0,0,3,0.168928821
Asia,Bahrain,0,1,0,0,0,1,0,0,0,2,0.001465985
Asia,Kuwait,0,1,0,0,0,1,0,0,0,2,0.088309254
Asia,United Arab Emirates,0,1,0,0,1,0,0,0,0,2,0.088176198
Asia,Turkmenistan,2,0,0,0,0,0,0,0,0,2,0.02711223
Asia,Oman,0,0,0,0,0,1,0,0,0,1,0.211105233
Asia,Syria,1,0,0,0,0,0,0,0,0,1,0.021290544
Asia,Georgia,1,0,0,0,0,0,0,0,0,1,1.316846416
Asia,Azerbaijan,1,0,0,0,0,0,0,0,0,1,1.929499932
Oceania,Australia,19,16,0,34,48,254,0,0,0,371,77.36587343
Oceania,New Zealand,9,25,0,1,5,42,0,0,0,82,7.252207545
Oceania,Solomon Islands,52,0,0,0,0,27,0,0,0,79,506.7058348
Oceania,Kiribati,34,0,0,0,0,27,0,0,0,61,1002.498028
Oceania,Tuvalu,27,0,0,0,0,16,0,0,0,43,37.31715678
Oceania,Palau,24,2,0,0,0,12,0,0,0,38,3.610332277
Oceania,Marshall Islands,18,0,0,0,0,9,0,0,0,27,0.333405365
Oceania,Nauru,9,0,0,0,0,11,0,0,0,20,22.25446647
Oceania,Papua New Guinea,2,1,0,0,0,2,0,0,0,5,70.33832735
Oceania,Fiji,0,2,0,0,0,1,0,0,0,3,0.531587364
Africa,Eswatini,164,3,0,0,0,44,0,0,0,211,20.75713775
Africa,Gambia,167,1,0,0,1,20,0,0,0,189,4.855655118
Africa,South Africa,36,76,0,0,4,57,0,0,0,173,10.84514524
Africa,Burkina Faso,61,0,0,0,0,50,0,0,0,111,1.22754133
Africa,São Tomé and Príncipe,42,0,0,0,0,26,0,0,0,68,
Africa,Ethiopia,52,0,0,0,0,0,0,0,0,52,1.118739528
Africa,Nigeria,21,0,0,0,1,3,0,0,0,25,19.01798721
Africa,Kenya,20,1,0,0,0,3,0,0,0,24,0.244662651
Africa,Egypt,18,1,0,0,2,2,0,0,0,23,4.21128801
